iter	Passed	Remaining
0	142	142482
1	143	71591
2	144	47929
3	144	36078
4	145	28973
5	146	24221
6	146	20814
7	147	18262
8	147	16272
9	148	14678
10	148	13383
11	149	12297
12	149	11378
13	150	10591
14	150	9909
15	151	9315
16	152	8791
17	152	8325
18	153	7905
19	153	7531
20	154	7187
21	154	6877
22	155	6594
23	155	6332
24	156	6093
25	156	5873
26	157	5669
27	157	5478
28	158	5302
29	158	5138
30	159	4986
31	160	4844
32	160	4710
33	161	4584
34	161	4463
35	162	4349
36	162	4241
37	163	4138
38	164	4041
39	164	3949
40	165	3861
41	165	3775
42	166	3696
43	166	3620
44	167	3546
45	167	3476
46	168	3408
47	168	3342
48	168	3279
49	169	3219
50	169	3161
51	170	3105
52	170	3051
53	171	2999
54	171	2949
55	172	2901
56	172	2854
57	173	2810
58	173	2769
59	174	2728
60	174	2689
61	175	2650
62	175	2612
63	176	2574
64	176	2538
65	176	2504
66	177	2470
67	177	2437
68	178	2405
69	178	2374
70	179	2344
71	179	2314
72	180	2285
73	180	2258
74	180	2230
75	181	2204
76	181	2178
77	182	2153
78	182	2129
79	183	2105
80	183	2082
81	183	2059
82	184	2035
83	184	2013
84	185	1992
85	185	1971
86	185	1951
87	186	1931
88	186	1912
89	187	1893
90	187	1875
91	188	1857
92	188	1840
93	189	1823
94	189	1808
95	190	1792
96	190	1775
97	191	1759
98	191	1744
99	192	1728
100	192	1713
101	192	1698
102	193	1684
103	193	1670
104	194	1656
105	194	1642
106	195	1629
107	195	1615
108	196	1602
109	196	1590
110	196	1577
111	197	1565
112	197	1553
113	198	1541
114	198	1529
115	199	1518
116	199	1505
117	199	1494
118	200	1483
119	200	1472
120	201	1462
121	201	1451
122	202	1440
123	202	1430
124	202	1420
125	203	1412
126	204	1402
127	204	1393
128	204	1383
129	205	1374
130	205	1365
131	206	1356
132	206	1347
133	207	1338
134	207	1330
135	208	1321
136	208	1313
137	208	1305
138	209	1297
139	209	1289
140	210	1281
